Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_changeUserStatus,,,,2019-12-18 09:32:53,2019-12-18 09:33:07,13.575s,INCOMPLETE
,,,,,,,
Test Cases/Account/TC_loginMerchant/TC_loginMerchantSysAdmin,,,,2019-12-18 09:32:54,2019-12-18 09:32:57,3.606s,PASSED
"var_enciphered_password = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_password)",,,,2019-12-18 09:32:55,2019-12-18 09:32:56,1.211s,PASSED
"plain = ""{"" + """"email_address"":"""" + var_email_address + """","" + """"user_agent"":"""" + var_user_agent + """","" + """"password"":"""" + var_enciphered_password + """"}""",,,,2019-12-18 09:32:56,2019-12-18 09:32:56,0.002s,PASSED
out.println(plain),,,,2019-12-18 09:32:56,2019-12-18 09:32:56,0.009s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-18 09:32:56,2019-12-18 09:32:56,0.031s,PASSED
"body = ""{""organisation_id"":"""" + var_organisation_id + """","" + """"data"":"""" + encipheredData + """","" + """"lang"":"""" + var_lang + """"}""",,,,2019-12-18 09:32:56,2019-12-18 09:32:56,0.002s,PASSED
out.println(body),,,,2019-12-18 09:32:56,2019-12-18 09:32:56,0.001s,PASSED
"request = findTestObject(""Account/obj_loginMerchant"")",,,,2019-12-18 09:32:56,2019-12-18 09:32:56,0.060s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-18 09:32:56,2019-12-18 09:32:56,0.008s,PASSED
response = sendRequest(request),,,,2019-12-18 09:32:56,2019-12-18 09:32:57,1.271s,PASSED
body_content = responseBodyContent,,,,2019-12-18 09:32:57,2019-12-18 09:32:57,0.005s,PASSED
status_code = statusCode,,,,2019-12-18 09:32:57,2019-12-18 09:32:57,0.002s,PASSED
out.println(body_content),,,,2019-12-18 09:32:57,2019-12-18 09:32:57,0.001s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-18 09:32:57,2019-12-18 09:32:57,0.015s,PASSED
out.println(respDataMap),,,,2019-12-18 09:32:57,2019-12-18 09:32:57,0.002s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-18 09:32:57,2019-12-18 09:32:57,0.014s,PASSED
out.println(var_expected_rc),,,,2019-12-18 09:32:57,2019-12-18 09:32:57,0.001s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-18 09:32:57,2019-12-18 09:32:57,0.003s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-12-18 09:32:57,2019-12-18 09:32:57,0.004s,PASSED
"rcIsTrue = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-12-18 09:32:57,2019-12-18 09:32:57,0.028s,PASSED
