Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_getSalesList,,,,2019-11-20 09:22:02,2019-11-20 09:22:18,15.370s,INCOMPLETE
,,,,,,,
Test Cases/Account/Login_Organisation/Login_Organisation_SysAdmin,,,,2019-11-20 09:22:03,2019-11-20 09:22:07,4.215s,PASSED
"var_enciphered_password = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_password)",,,,2019-11-20 09:22:05,2019-11-20 09:22:06,1.096s,PASSED
"plain = ""{""email_address"":"""" + var_email_address + """","" + """"user_agent"":"""" + var_user_agent + """","" + """"password"":"""" + var_enciphered_password + """"}""",,,,2019-11-20 09:22:06,2019-11-20 09:22:06,0.002s,PASSED
partner_token = partner_token,,,,2019-11-20 09:22:06,2019-11-20 09:22:06,0.001s,PASSED
out.println(plain),,,,2019-11-20 09:22:06,2019-11-20 09:22:06,0.007s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-11-20 09:22:06,2019-11-20 09:22:06,0.031s,PASSED
"body = ""{""organisation_id"":"""" + var_organisation_id + """","" + """"data"":"""" + encipheredData + """","" + """"lang"":"""" + var_lang + """"}""",,,,2019-11-20 09:22:06,2019-11-20 09:22:06,0.001s,PASSED
out.println(body),,,,2019-11-20 09:22:06,2019-11-20 09:22:06,0.000s,PASSED
"request = findTestObject(""Account/Login_Organisation_URL"")",,,,2019-11-20 09:22:06,2019-11-20 09:22:06,0.067s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-11-20 09:22:06,2019-11-20 09:22:06,0.016s,PASSED
response = sendRequest(request),,,,2019-11-20 09:22:06,2019-11-20 09:22:07,0.840s,PASSED
body_content = responseBodyContent,,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.004s,PASSED
status_code = statusCode,,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.001s,PASSED
out.println(body_content),,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.002s,PASSED
println(partner_token),,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.003s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.018s,PASSED
out.println(respDataMap),,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.002s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.010s,PASSED
out.println(var_expected_rc),,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.000s,PASSED
out.println(rc_ref.getRCName()),,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.001s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.002s,PASSED
"rcIsTrue = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.125s,PASSED
"httpRespIsTrue = verifyEqual(statusCode, rc_ref.getHttpResponse())",,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.005s,PASSED
if (rc_ref == RC00),,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.025s,PASSED
,,,,,,,
Test Cases/Dashboard_App/TC_getSalesList/TSC_getSalesList,,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.522s,PASSED
"plain = ""{""user_agent"": """" + var_user_agent + """",""data_rules"": {""search"": {""sales_id"": """" + var_sales_id + """",""employee_name"": """" + var_employee_name + """"}}}""",,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.001s,PASSED
page_number = var_page_number,,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.002s,PASSED
page_size = var_page_size,,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.001s,PASSED
partner_token = partner_token,,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.003s,PASSED
out.println(plain),,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.001s,PASSED
"out.println(""var_merchant_token"" + var_merchant_token)",,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.001s,PASSED
"out.println(""var_partner_token"" + var_partner_token)",,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.001s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.001s,PASSED
"body = ""{""organisation_id"":"""" + var_organisation_id + """","" + """"data"":"""" + encipheredData + """","" + """"lang"":"""" + var_lang + """"}""",,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.000s,PASSED
out.println(body),,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.001s,PASSED
"request = findTestObject(""Dashboard_App/obj_getSalesList"")",,,,2019-11-20 09:22:07,2019-11-20 09:22:07,0.063s,PASSED
