Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_changePINAccessCode,,,,2019-12-17 11:49:36,2019-12-17 11:49:46,9.600s,INCOMPLETE
,,,,,,,
Test Cases/Account/TC_loginCustomer/rian_project_Login_Customer_Rian,,,,2019-12-17 11:49:37,2019-12-17 11:49:39,2.795s,PASSED
"var_enciphered_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_pin)",,,,2019-12-17 11:49:37,2019-12-17 11:49:38,1.037s,PASSED
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"phone_number"":"""" + var_phone_number + """","" + """"pin"":"""" + var_enciphered_pin + """","" + """"device_id"":"""" + var_device_id + """","" + """"fcm_token"":"""" + var_fcm_token + """"}""",,,,2019-12-17 11:49:38,2019-12-17 11:49:38,0.002s,PASSED
out.println(plain),,,,2019-12-17 11:49:38,2019-12-17 11:49:38,0.009s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-17 11:49:38,2019-12-17 11:49:38,0.023s,PASSED
"body = ""{""organisation_id"":""1"",""data"":"""" + encipheredData + """",""lang"":""id""}""",,,,2019-12-17 11:49:38,2019-12-17 11:49:38,0.001s,PASSED
out.println(body),,,,2019-12-17 11:49:38,2019-12-17 11:49:38,0.001s,PASSED
"request = findTestObject(""Account/obj_loginCustomer"")",,,,2019-12-17 11:49:38,2019-12-17 11:49:38,0.045s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-17 11:49:38,2019-12-17 11:49:38,0.008s,PASSED
response = sendRequest(request),,,,2019-12-17 11:49:38,2019-12-17 11:49:39,0.955s,PASSED
body_content = responseBodyContent,,,,2019-12-17 11:49:39,2019-12-17 11:49:39,0.007s,PASSED
status_code = statusCode,,,,2019-12-17 11:49:39,2019-12-17 11:49:39,0.002s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-17 11:49:39,2019-12-17 11:49:39,0.013s,PASSED
out.println(respDataMap),,,,2019-12-17 11:49:39,2019-12-17 11:49:39,0.002s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-17 11:49:39,2019-12-17 11:49:39,0.013s,PASSED
out.println(var_expected_rc),,,,2019-12-17 11:49:39,2019-12-17 11:49:39,0.002s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-17 11:49:39,2019-12-17 11:49:39,0.003s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-12-17 11:49:39,2019-12-17 11:49:39,0.002s,PASSED
"rcIsTrue = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-12-17 11:49:39,2019-12-17 11:49:39,0.023s,PASSED
"httpRespIsTrue = verifyEqual(statusCode, rc_ref.getHttpResponse())",,,,2019-12-17 11:49:39,2019-12-17 11:49:39,0.006s,PASSED
if (rc_ref == RC00),,,,2019-12-17 11:49:39,2019-12-17 11:49:39,0.011s,PASSED
,,,,,,,
Test Cases/E_Wallet/Change_PIN_Access_Code/Change_PIN_Access_Code,,,,2019-12-17 11:49:39,2019-12-17 11:49:40,0.566s,PASSED
"var_enciphered_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_pin)",,,,2019-12-17 11:49:40,2019-12-17 11:49:40,0.004s,PASSED
"var_enciphered_new_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_new_pin)",,,,2019-12-17 11:49:40,2019-12-17 11:49:40,0.005s,PASSED
"var_enciphered_confirm_new_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_confirm_new_pin)",,,,2019-12-17 11:49:40,2019-12-17 11:49:40,0.004s,PASSED
"plain = ""{"" + """"old_pin"":"""" + var_enciphered_pin + """","" + """"new_pin"":"""" + var_enciphered_new_pin + """","" + """"confirm_pin"":"""" + var_enciphered_confirm_new_pin + """"}""",,,,2019-12-17 11:49:40,2019-12-17 11:49:40,0.002s,PASSED
out.println(plain),,,,2019-12-17 11:49:40,2019-12-17 11:49:40,0.002s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-17 11:49:40,2019-12-17 11:49:40,0.003s,PASSED
