Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_changePINAccessCode,,,,2019-12-17 10:38:27,2019-12-17 10:38:35,8.485s,INCOMPLETE
,,,,,,,
Test Cases/Account/TC_loginCustomer/Login_Customer_Rian,,,,2019-12-17 10:38:27,2019-12-17 10:38:29,2.488s,PASSED
"var_enciphered_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_pin)",,,,2019-12-17 10:38:27,2019-12-17 10:38:28,0.938s,PASSED
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"phone_number"":"""" + var_phone_number + """","" + """"pin"":"""" + var_enciphered_pin + """","" + """"device_id"":"""" + var_device_id + """","" + """"fcm_token"":"""" + var_fcm_token + """"}""",,,,2019-12-17 10:38:28,2019-12-17 10:38:28,0.001s,PASSED
out.println(plain),,,,2019-12-17 10:38:28,2019-12-17 10:38:28,0.006s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-17 10:38:28,2019-12-17 10:38:28,0.021s,PASSED
"body = ""{""organisation_id"":""1"",""data"":"""" + encipheredData + """",""lang"":""id""}""",,,,2019-12-17 10:38:28,2019-12-17 10:38:28,0.000s,PASSED
out.println(body),,,,2019-12-17 10:38:28,2019-12-17 10:38:28,0.000s,PASSED
"request = findTestObject(""Account/obj_loginCustomer"")",,,,2019-12-17 10:38:28,2019-12-17 10:38:28,0.043s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-17 10:38:28,2019-12-17 10:38:28,0.009s,PASSED
response = sendRequest(request),,,,2019-12-17 10:38:28,2019-12-17 10:38:29,0.837s,PASSED
body_content = responseBodyContent,,,,2019-12-17 10:38:29,2019-12-17 10:38:29,0.007s,PASSED
status_code = statusCode,,,,2019-12-17 10:38:29,2019-12-17 10:38:29,0.001s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-17 10:38:29,2019-12-17 10:38:29,0.013s,PASSED
out.println(respDataMap),,,,2019-12-17 10:38:29,2019-12-17 10:38:29,0.002s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-17 10:38:29,2019-12-17 10:38:29,0.012s,PASSED
out.println(var_expected_rc),,,,2019-12-17 10:38:29,2019-12-17 10:38:29,0.001s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-17 10:38:29,2019-12-17 10:38:29,0.003s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-12-17 10:38:29,2019-12-17 10:38:29,0.002s,PASSED
"rcIsTrue = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-12-17 10:38:29,2019-12-17 10:38:29,0.021s,PASSED
"httpRespIsTrue = verifyEqual(statusCode, rc_ref.getHttpResponse())",,,,2019-12-17 10:38:29,2019-12-17 10:38:29,0.003s,PASSED
if (rc_ref == RC00),,,,2019-12-17 10:38:29,2019-12-17 10:38:29,0.007s,PASSED
,,,,,,,
Test Cases/E_Wallet/TC_Change_PIN_Access_Code/TC_Change_PIN_Access_Code,,,,2019-12-17 10:38:29,2019-12-17 10:38:30,0.372s,FAILED
"var_enciphered_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_pin)",,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.006s,PASSED
"var_enciphered_new_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_new_pin)",,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.004s,PASSED
"var_enciphered_confirm_new_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_confirm_new_pin)",,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.005s,PASSED
"plain = ""{"" + """"old_pin"":"""" + var_enciphered_pin + """","" + """"new_pin"":"""" + var_enciphered_new_pin + """","" + """"confirm_pin"":"""" + var_enciphered_confirm_new_pin + """"}""",,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.002s,PASSED
out.println(plain),,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.003s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.003s,PASSED
"body = ""{""organisation_id"":"""" + var_organisation_id + """",""data"":"""" + encipheredData + """",""lang"":"""" + var_lang + """"}""",,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.001s,PASSED
out.println(body),,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.001s,PASSED
"request = findTestObject(""E_Wallet/obj_Change_PIN_Access_Code"")",,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.052s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.001s,PASSED
println(hostname),,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.002s,PASSED
println(request.getRestUrl()),,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.002s,PASSED
response = sendRequest(request),,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.106s,PASSED
body_content = responseBodyContent,,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.001s,PASSED
status_code = statusCode,,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.001s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.001s,PASSED
out.println(respDataMap),,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.001s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.001s,PASSED
out.println(var_expected_rc),,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.001s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.001s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.000s,PASSED
"rcIsTrue = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.023s,FAILED
,,,,,,,
Test Cases/E_Wallet/TC_Change_PIN_Access_Code/TC_Change_PIN_Access_Code,,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.207s,FAILED
"var_enciphered_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_pin)",,,,2019-12-17 10:38:30,2019-12-17 10:38:30,0.004s,PASSED
