Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_cancelQR,,,,2019-12-06 10:08:52,2019-12-06 10:09:00,7.250s,INCOMPLETE
,,,,,,,
Test Cases/E_Wallet/TC_cancelQR/TC_cancelQR,,,,2019-12-06 10:08:53,2019-12-06 10:08:55,2.657s,PASSED
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"unique_code"":"""" + var_unique_code + """"}""",,,,2019-12-06 10:08:53,2019-12-06 10:08:53,0.002s,PASSED
partner_token = partner_token,,,,2019-12-06 10:08:53,2019-12-06 10:08:53,0.001s,PASSED
out.println(plain),,,,2019-12-06 10:08:53,2019-12-06 10:08:53,0.010s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-06 10:08:53,2019-12-06 10:08:54,0.873s,PASSED
"body = ""{""organisation_id"":"""" + var_organisation_id + """","" + """"data"":"""" + encipheredData + """","" + """"lang"":"""" + var_lang + """"}""",,,,2019-12-06 10:08:54,2019-12-06 10:08:54,0.001s,PASSED
out.println(body),,,,2019-12-06 10:08:54,2019-12-06 10:08:54,0.002s,PASSED
"request = findTestObject(""E_Wallet/obj_cancelQR"")",,,,2019-12-06 10:08:54,2019-12-06 10:08:54,0.051s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-06 10:08:54,2019-12-06 10:08:54,0.009s,PASSED
if (var_customer_token == 0),,,,2019-12-06 10:08:54,2019-12-06 10:08:54,0.001s,PASSED
else,,,,2019-12-06 10:08:54,2019-12-06 10:08:54,0.015s,PASSED
response = sendRequest(request),,,,2019-12-06 10:08:54,2019-12-06 10:08:55,0.922s,PASSED
println(request.getRestUrl()),,,,2019-12-06 10:08:55,2019-12-06 10:08:55,0.004s,PASSED
body_content = responseBodyContent,,,,2019-12-06 10:08:55,2019-12-06 10:08:55,0.008s,PASSED
status_code = statusCode,,,,2019-12-06 10:08:55,2019-12-06 10:08:55,0.001s,PASSED
