Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_changePhoneNumber,,,,2019-12-02 09:11:15,2019-12-02 09:11:19,3.941s,INCOMPLETE
,,,,,,,
Test Cases/Account/TC_loginCustomer/TC_login081223330026,,,,2019-12-02 09:11:16,2019-12-02 09:11:19,3.145s,PASSED
"var_enciphered_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_pin)",,,,2019-12-02 09:11:16,2019-12-02 09:11:17,1.046s,PASSED
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"phone_number"":"""" + var_phone_number + """","" + """"pin"":"""" + var_enciphered_pin + """","" + """"device_id"":"""" + var_device_id + """","" + """"fcm_token"":"""" + var_fcm_token + """"}""",,,,2019-12-02 09:11:17,2019-12-02 09:11:17,0.001s,PASSED
out.println(plain),,,,2019-12-02 09:11:17,2019-12-02 09:11:17,0.009s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-02 09:11:17,2019-12-02 09:11:17,0.020s,PASSED
"body = ""{""organisation_id"":""1"",""data"":"""" + encipheredData + """",""lang"":""id""}""",,,,2019-12-02 09:11:17,2019-12-02 09:11:17,0.000s,PASSED
out.println(body),,,,2019-12-02 09:11:17,2019-12-02 09:11:17,0.000s,PASSED
"request = findTestObject(""Account/obj_loginCustomer"")",,,,2019-12-02 09:11:17,2019-12-02 09:11:18,0.162s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-02 09:11:18,2019-12-02 09:11:18,0.016s,PASSED
response = sendRequest(request),,,,2019-12-02 09:11:18,2019-12-02 09:11:19,1.123s,PASSED
println(request.getRestUrl()),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.004s,PASSED
body_content = responseBodyContent,,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.006s,PASSED
status_code = statusCode,,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.017s,PASSED
out.println(respDataMap),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.004s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.014s,PASSED
out.println(var_expected_rc),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.003s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.002s,PASSED
"rcIsTrue = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.023s,PASSED
"httpRespIsTrue = verifyEqual(statusCode, rc_ref.getHttpResponse())",,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.005s,PASSED
if (rc_ref == RC00),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.010s,PASSED
,,,,,,,
Test Cases/E_Wallet/TC_changePhoneNumber/TC_changePhoneNumber,,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.359s,ERROR
"var_enciphered_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_authentication)",,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.003s,PASSED
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"phone_number"":"""" + var_phone_number + """","" + """"authentication"":"""" + var_enciphered_pin + """"}""",,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
partner_token = partner_token,,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
out.println(plain),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
"out.println(""var_customer_token"" + var_customer_token)",,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.002s,PASSED
"out.println(""var_partner_token"" + var_partner_token)",,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.002s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
"body = ""{""organisation_id"":"""" + var_organisation_id + """","" + """"data"":"""" + encipheredData + """","" + """"lang"":"""" + var_lang + """"}""",,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.000s,PASSED
out.println(body),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
"request = findTestObject(""E_Wallet/obj_changePhoneNumber"")",,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.063s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
if (var_customer_token == 0),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
else,,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.013s,PASSED
response = sendRequest(request),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.022s,PASSED
body_content = responseBodyContent,,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
status_code = statusCode,,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.002s,PASSED
out.println(respDataMap),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.002s,PASSED
println(body_content),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.000s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.000s,PASSED
out.println(var_expected_rc),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.001s,PASSED
"result = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-12-02 09:11:19,2019-12-02 09:11:19,0.006s,PASSED
