Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_updateBillingUpdateSendNotif,,,,2019-12-17 11:09:13,2019-12-17 11:09:17,3.351s,INCOMPLETE
,,,,,,,
Test Cases/E_Wallet/TC_updateBilling/TC_updateBillingUpdateSendNotif,,,,2019-12-17 11:09:14,2019-12-17 11:09:17,3.084s,PASSED
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"billing_id"":"""" + var_billing_id + """","" + """"amount"":"""" + var_amount + """","" + """"billing_status"":"""" + var_billing_status + """","" + """"verified_flag"":"""" + var_verified_flag + """","" + """"wallet_id"":"""" + var_wallet_id + """","" + """"billing_ref1"":"""" + var_billing_ref1 + """","" + """"billing_ref2"":"""" + var_billing_ref2 + """","" + """"billing_ref3"":"""" + var_billing_ref3 + """"}""",,,,2019-12-17 11:09:14,2019-12-17 11:09:14,0.006s,PASSED
out.println(plain),,,,2019-12-17 11:09:14,2019-12-17 11:09:14,0.011s,PASSED
"out.println(""var_customer_token"" + var_customer_token)",,,,2019-12-17 11:09:14,2019-12-17 11:09:14,0.001s,PASSED
"out.println(""var_partner_token"" + var_partner_token)",,,,2019-12-17 11:09:14,2019-12-17 11:09:14,0.001s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-17 11:09:14,2019-12-17 11:09:15,0.958s,PASSED
"body = ""{""organisation_id"":"""" + var_organisation_id + """","" + """"data"":"""" + encipheredData + """","" + """"lang"":"""" + var_lang + """"}""",,,,2019-12-17 11:09:15,2019-12-17 11:09:15,0.001s,PASSED
out.println(body),,,,2019-12-17 11:09:15,2019-12-17 11:09:15,0.003s,PASSED
"request = findTestObject(""E_Wallet/obj_updateBilling2"")",,,,2019-12-17 11:09:15,2019-12-17 11:09:15,0.061s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-17 11:09:15,2019-12-17 11:09:15,0.012s,PASSED
if (var_customer_token == 0),,,,2019-12-17 11:09:15,2019-12-17 11:09:15,0.001s,PASSED
else,,,,2019-12-17 11:09:15,2019-12-17 11:09:15,0.012s,PASSED
response = sendRequest(request),,,,2019-12-17 11:09:15,2019-12-17 11:09:17,1.082s,PASSED
a = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.001s,PASSED
headerProps = request.getHttpHeaderProperties(),,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.001s,PASSED
"for ([a = 0, a < headerProps.size(), (a++)])",,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.007s,PASSED
body_content = responseBodyContent,,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.004s,PASSED
status_code = statusCode,,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.000s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.019s,PASSED
out.println(respDataMap),,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.003s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.018s,PASSED
out.println(var_expected_rc),,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.001s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.002s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.002s,PASSED
"result = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.023s,PASSED
if (result == false),,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.001s,PASSED
else,,,,2019-12-17 11:09:17,2019-12-17 11:09:17,0.014s,PASSED
