Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_checkURLTokenValidity,,,,2019-12-18 09:35:34,2019-12-18 09:35:38,3.881s,INCOMPLETE
,,,,,,,
Test Cases/Account/TC_loginMerchant/TC_loginMerchantSysAdmin,,,,2019-12-18 09:35:34,2019-12-18 09:35:37,3.178s,PASSED
"var_enciphered_password = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_password)",,,,2019-12-18 09:35:35,2019-12-18 09:35:36,1.256s,PASSED
"plain = ""{"" + """"email_address"":"""" + var_email_address + """","" + """"user_agent"":"""" + var_user_agent + """","" + """"password"":"""" + var_enciphered_password + """"}""",,,,2019-12-18 09:35:36,2019-12-18 09:35:36,0.002s,PASSED
out.println(plain),,,,2019-12-18 09:35:36,2019-12-18 09:35:36,0.007s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-18 09:35:36,2019-12-18 09:35:36,0.022s,PASSED
"body = ""{""organisation_id"":"""" + var_organisation_id + """","" + """"data"":"""" + encipheredData + """","" + """"lang"":"""" + var_lang + """"}""",,,,2019-12-18 09:35:36,2019-12-18 09:35:36,0.000s,PASSED
out.println(body),,,,2019-12-18 09:35:36,2019-12-18 09:35:36,0.001s,PASSED
"request = findTestObject(""Account/obj_loginMerchant"")",,,,2019-12-18 09:35:36,2019-12-18 09:35:36,0.056s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-18 09:35:36,2019-12-18 09:35:36,0.012s,PASSED
response = sendRequest(request),,,,2019-12-18 09:35:36,2019-12-18 09:35:37,0.922s,PASSED
body_content = responseBodyContent,,,,2019-12-18 09:35:37,2019-12-18 09:35:37,0.006s,PASSED
status_code = statusCode,,,,2019-12-18 09:35:37,2019-12-18 09:35:37,0.001s,PASSED
out.println(body_content),,,,2019-12-18 09:35:37,2019-12-18 09:35:37,0.001s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-18 09:35:37,2019-12-18 09:35:37,0.012s,PASSED
out.println(respDataMap),,,,2019-12-18 09:35:37,2019-12-18 09:35:37,0.003s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-18 09:35:37,2019-12-18 09:35:37,0.012s,PASSED
out.println(var_expected_rc),,,,2019-12-18 09:35:37,2019-12-18 09:35:37,0.001s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-18 09:35:37,2019-12-18 09:35:37,0.004s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-12-18 09:35:37,2019-12-18 09:35:37,0.002s,PASSED
"rcIsTrue = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-12-18 09:35:37,2019-12-18 09:35:37,0.019s,PASSED
"httpRespIsTrue = verifyEqual(statusCode, rc_ref.getHttpResponse())",,,,2019-12-18 09:35:37,2019-12-18 09:35:37,0.006s,PASSED
if (rc_ref == RC00),,,,2019-12-18 09:35:37,2019-12-18 09:35:37,0.011s,PASSED
,,,,,,,
Test Cases/Dashboard_App/TSC_checkURLTokenValidity/TSC_checkURLTokenValidity,,,,2019-12-18 09:35:37,2019-12-18 09:35:38,0.490s,PASSED
"plain = ""{""""}""",,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.000s,PASSED
"out.println(""var_merchant_token"" + var_merchant_token)",,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
"out.println(""var_partner_token"" + var_partner_token)",,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.002s,PASSED
"body = ""{""data"":"""" + encipheredData + """"}""",,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
out.println(body),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
println(hostname),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.003s,PASSED
println(access_token_merchant),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
partner_token = partner_token,,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.000s,PASSED
println(partner_token),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
"request = findTestObject(""Dashboard_App/OR_checkURLTokenValidity"")",,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.031s,PASSED
println(request.getRestUrl()),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
"if (var_merchant_token == ""0"")",,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
else,,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.012s,PASSED
response = sendRequest(request),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.150s,PASSED
body_content = responseBodyContent,,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
status_code = statusCode,,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.002s,PASSED
out.println(respDataMap),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
println(body_content),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
out.println(var_expected_rc),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
"result = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.005s,PASSED
if (result == false),,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.001s,PASSED
else,,,,2019-12-18 09:35:38,2019-12-18 09:35:38,0.007s,PASSED
