Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_getListUser,,,,2019-11-19 14:53:48,2019-11-19 14:54:07,19.350s,INCOMPLETE
,,,,,,,
Test Cases/Account/Login_Merchant/Login_SysAdmin,,,,2019-11-19 14:53:49,2019-11-19 14:53:56,7.184s,PASSED
"var_enciphered_password = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_password)",,,,2019-11-19 14:53:51,2019-11-19 14:53:53,2.025s,PASSED
"plain = ""{"" + """"email_address"":"""" + var_email_address + """","" + """"user_agent"":"""" + var_user_agent + """","" + """"password"":"""" + var_enciphered_password + """"}""",,,,2019-11-19 14:53:53,2019-11-19 14:53:53,0.002s,PASSED
out.println(plain),,,,2019-11-19 14:53:53,2019-11-19 14:53:54,0.015s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-11-19 14:53:54,2019-11-19 14:53:54,0.051s,PASSED
"body = ""{""organisation_id"":"""" + var_organisation_id + """","" + """"data"":"""" + encipheredData + """","" + """"lang"":"""" + var_lang + """"}""",,,,2019-11-19 14:53:54,2019-11-19 14:53:54,0.001s,PASSED
out.println(body),,,,2019-11-19 14:53:54,2019-11-19 14:53:54,0.002s,PASSED
"request = findTestObject(""Account/Login_Merchant_URL"")",,,,2019-11-19 14:53:54,2019-11-19 14:53:54,0.105s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-11-19 14:53:54,2019-11-19 14:53:54,0.019s,PASSED
response = sendRequest(request),,,,2019-11-19 14:53:54,2019-11-19 14:53:55,1.701s,PASSED
body_content = responseBodyContent,,,,2019-11-19 14:53:55,2019-11-19 14:53:55,0.009s,PASSED
status_code = statusCode,,,,2019-11-19 14:53:55,2019-11-19 14:53:55,0.002s,PASSED
out.println(body_content),,,,2019-11-19 14:53:55,2019-11-19 14:53:55,0.002s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-11-19 14:53:55,2019-11-19 14:53:55,0.028s,PASSED
out.println(respDataMap),,,,2019-11-19 14:53:55,2019-11-19 14:53:55,0.005s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-11-19 14:53:55,2019-11-19 14:53:55,0.031s,PASSED
out.println(var_expected_rc),,,,2019-11-19 14:53:55,2019-11-19 14:53:55,0.003s,PASSED
out.println(rc_ref.getRCName()),,,,2019-11-19 14:53:55,2019-11-19 14:53:55,0.004s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-11-19 14:53:55,2019-11-19 14:53:55,0.004s,PASSED
"rcIsTrue = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-11-19 14:53:55,2019-11-19 14:53:56,0.211s,PASSED
"httpRespIsTrue = verifyEqual(statusCode, rc_ref.getHttpResponse())",,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.006s,PASSED
if (rc_ref == RC00),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.017s,PASSED
,,,,,,,
Test Cases/Dashboard_App/TSC_getListUser/TSC_getListUser,,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.706s,PASSED
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """",""data_rules"":{""filter"": {""username"": """" + var_username + """",""role_id"": """" + var_role_id + """",""status"": """" + var_status + """"},""search"": {""name"": """" + var_name + """"},""sort"": [""created_date""]}}""",,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.003s,PASSED
page_number = var_page_number,,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.002s,PASSED
page_size = var_page_size,,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.001s,PASSED
partner_token = partner_token,,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.001s,PASSED
out.println(plain),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.002s,PASSED
"out.println(""var_merchant_token"" + var_merchant_token)",,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.003s,PASSED
"out.println(""var_partner_token"" + var_partner_token)",,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.002s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.002s,PASSED
"body = ""{""organisation_id"":"""" + var_organisation_id + """","" + """"data"":"""" + encipheredData + """","" + """"lang"":"""" + var_lang + """"}""",,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.002s,PASSED
out.println(body),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.002s,PASSED
"request = findTestObject(""Dashboard_App/OR_getListUser"")",,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.097s,PASSED
println(hostname),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.007s,PASSED
println(access_token_merchant),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.001s,PASSED
println(request.getRestUrl()),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.004s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.002s,PASSED
if (var_merchant_token == 0),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.003s,PASSED
else,,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.022s,PASSED
response = sendRequest(request),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.116s,PASSED
body_content = responseBodyContent,,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.001s,PASSED
status_code = statusCode,,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.001s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.002s,PASSED
out.println(respDataMap),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.002s,PASSED
println(body_content),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.001s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.001s,PASSED
out.println(var_expected_rc),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.001s,PASSED
out.println(rc_ref.getRCName()),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.001s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.001s,PASSED
"result = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.005s,PASSED
if (result == false),,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.002s,PASSED
else,,,,2019-11-19 14:53:56,2019-11-19 14:53:56,0.030s,PASSED
,,,,,,,
