Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_changePINAccessCode,,,,2019-12-17 10:36:40,2019-12-17 10:36:48,7.995s,INCOMPLETE
,,,,,,,
Test Cases/Account/TC_loginCustomer/rian_project_Login_Customer_Rian,,,,2019-12-17 10:36:40,2019-12-17 10:36:42,2.466s,PASSED
"var_enciphered_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_pin)",,,,2019-12-17 10:36:40,2019-12-17 10:36:41,0.984s,PASSED
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"phone_number"":"""" + var_phone_number + """","" + """"pin"":"""" + var_enciphered_pin + """","" + """"device_id"":"""" + var_device_id + """","" + """"fcm_token"":"""" + var_fcm_token + """"}""",,,,2019-12-17 10:36:41,2019-12-17 10:36:41,0.001s,PASSED
out.println(plain),,,,2019-12-17 10:36:41,2019-12-17 10:36:41,0.006s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-17 10:36:41,2019-12-17 10:36:41,0.022s,PASSED
"body = ""{""organisation_id"":""1"",""data"":"""" + encipheredData + """",""lang"":""id""}""",,,,2019-12-17 10:36:41,2019-12-17 10:36:41,0.001s,PASSED
out.println(body),,,,2019-12-17 10:36:41,2019-12-17 10:36:41,0.001s,PASSED
"request = findTestObject(""Account/obj_loginCustomer"")",,,,2019-12-17 10:36:41,2019-12-17 10:36:42,0.041s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-17 10:36:42,2019-12-17 10:36:42,0.007s,PASSED
response = sendRequest(request),,,,2019-12-17 10:36:42,2019-12-17 10:36:42,0.753s,PASSED
body_content = responseBodyContent,,,,2019-12-17 10:36:42,2019-12-17 10:36:42,0.006s,PASSED
status_code = statusCode,,,,2019-12-17 10:36:42,2019-12-17 10:36:42,0.001s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-17 10:36:42,2019-12-17 10:36:42,0.015s,PASSED
out.println(respDataMap),,,,2019-12-17 10:36:42,2019-12-17 10:36:42,0.003s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-17 10:36:42,2019-12-17 10:36:42,0.015s,PASSED
out.println(var_expected_rc),,,,2019-12-17 10:36:42,2019-12-17 10:36:42,0.002s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-17 10:36:42,2019-12-17 10:36:42,0.002s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-12-17 10:36:42,2019-12-17 10:36:42,0.002s,PASSED
"rcIsTrue = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-12-17 10:36:42,2019-12-17 10:36:42,0.019s,PASSED
"httpRespIsTrue = verifyEqual(statusCode, rc_ref.getHttpResponse())",,,,2019-12-17 10:36:42,2019-12-17 10:36:42,0.004s,PASSED
if (rc_ref == RC00),,,,2019-12-17 10:36:42,2019-12-17 10:36:42,0.007s,PASSED
,,,,,,,
Test Cases/E_Wallet/Change_PIN_Access_Code/Change_PIN_Access_Code,,,,2019-12-17 10:36:42,2019-12-17 10:36:43,0.366s,PASSED
"var_enciphered_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_pin)",,,,2019-12-17 10:36:43,2019-12-17 10:36:43,0.006s,PASSED
"var_enciphered_new_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_new_pin)",,,,2019-12-17 10:36:43,2019-12-17 10:36:43,0.006s,PASSED
"var_enciphered_confirm_new_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_confirm_new_pin)",,,,2019-12-17 10:36:43,2019-12-17 10:36:43,0.004s,PASSED
"plain = ""{"" + """"old_pin"":"""" + var_enciphered_pin + """","" + """"new_pin"":"""" + var_enciphered_new_pin + """","" + """"confirm_pin"":"""" + var_enciphered_confirm_new_pin + """"}""",,,,2019-12-17 10:36:43,2019-12-17 10:36:43,0.001s,PASSED
out.println(plain),,,,2019-12-17 10:36:43,2019-12-17 10:36:43,0.001s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-17 10:36:43,2019-12-17 10:36:43,0.001s,PASSED
"body = ""{""organisation_id"":"""" + var_organisation_id + """",""data"":"""" + encipheredData + """",""lang"":"""" + var_lang + """"}""",,,,2019-12-17 10:36:43,2019-12-17 10:36:43,0.000s,PASSED
