Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Gamification_Update_API_Get_List_Issuer,,,,2019-12-17 11:57:44,2019-12-17 11:57:51,6.608s,INCOMPLETE
,,,,,,,
Test Cases/Account/TC_loginCustomer/TC_login081266483909,,,,2019-12-17 11:57:44,2019-12-17 11:57:47,2.689s,PASSED
"var_enciphered_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_pin)",,,,2019-12-17 11:57:45,2019-12-17 11:57:46,0.971s,PASSED
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"phone_number"":"""" + var_phone_number + """","" + """"pin"":"""" + var_enciphered_pin + """","" + """"device_id"":"""" + var_device_id + """","" + """"fcm_token"":"""" + var_fcm_token + """"}""",,,,2019-12-17 11:57:46,2019-12-17 11:57:46,0.001s,PASSED
out.println(plain),,,,2019-12-17 11:57:46,2019-12-17 11:57:46,0.007s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-17 11:57:46,2019-12-17 11:57:46,0.020s,PASSED
"body = ""{""organisation_id"":""1"",""data"":"""" + encipheredData + """",""lang"":""id""}""",,,,2019-12-17 11:57:46,2019-12-17 11:57:46,0.001s,PASSED
out.println(body),,,,2019-12-17 11:57:46,2019-12-17 11:57:46,0.001s,PASSED
"request = findTestObject(""Account/obj_loginCustomer"")",,,,2019-12-17 11:57:46,2019-12-17 11:57:46,0.047s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-17 11:57:46,2019-12-17 11:57:46,0.009s,PASSED
response = sendRequest(request),,,,2019-12-17 11:57:46,2019-12-17 11:57:47,0.823s,PASSED
println(request.getRestUrl()),,,,2019-12-17 11:57:47,2019-12-17 11:57:47,0.003s,PASSED
body_content = responseBodyContent,,,,2019-12-17 11:57:47,2019-12-17 11:57:47,0.006s,PASSED
status_code = statusCode,,,,2019-12-17 11:57:47,2019-12-17 11:57:47,0.003s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-17 11:57:47,2019-12-17 11:57:47,0.014s,PASSED
out.println(respDataMap),,,,2019-12-17 11:57:47,2019-12-17 11:57:47,0.004s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-17 11:57:47,2019-12-17 11:57:47,0.015s,PASSED
out.println(var_expected_rc),,,,2019-12-17 11:57:47,2019-12-17 11:57:47,0.002s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-17 11:57:47,2019-12-17 11:57:47,0.003s,PASSED
