Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_changePinAccessCode,,,,2019-12-17 10:48:36,2019-12-17 10:48:43,7.858s,INCOMPLETE
,,,,,,,
Test Cases/Account/TC_loginCustomer/rian_project_Login_Customer_Rian,,,,2019-12-17 10:48:36,2019-12-17 10:48:38,2.527s,PASSED
"var_enciphered_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_pin)",,,,2019-12-17 10:48:36,2019-12-17 10:48:37,0.982s,PASSED
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"phone_number"":"""" + var_phone_number + """","" + """"pin"":"""" + var_enciphered_pin + """","" + """"device_id"":"""" + var_device_id + """","" + """"fcm_token"":"""" + var_fcm_token + """"}""",,,,2019-12-17 10:48:37,2019-12-17 10:48:37,0.001s,PASSED
out.println(plain),,,,2019-12-17 10:48:37,2019-12-17 10:48:37,0.006s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-12-17 10:48:37,2019-12-17 10:48:37,0.021s,PASSED
"body = ""{""organisation_id"":""1"",""data"":"""" + encipheredData + """",""lang"":""id""}""",,,,2019-12-17 10:48:37,2019-12-17 10:48:37,0.000s,PASSED
out.println(body),,,,2019-12-17 10:48:37,2019-12-17 10:48:37,0.000s,PASSED
"request = findTestObject(""Account/obj_loginCustomer"")",,,,2019-12-17 10:48:37,2019-12-17 10:48:37,0.039s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-17 10:48:37,2019-12-17 10:48:37,0.008s,PASSED
response = sendRequest(request),,,,2019-12-17 10:48:37,2019-12-17 10:48:38,0.770s,PASSED
body_content = responseBodyContent,,,,2019-12-17 10:48:38,2019-12-17 10:48:38,0.007s,PASSED
status_code = statusCode,,,,2019-12-17 10:48:38,2019-12-17 10:48:38,0.001s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-17 10:48:38,2019-12-17 10:48:38,0.015s,PASSED
out.println(respDataMap),,,,2019-12-17 10:48:38,2019-12-17 10:48:38,0.002s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2019-12-17 10:48:38,2019-12-17 10:48:38,0.012s,PASSED
out.println(var_expected_rc),,,,2019-12-17 10:48:38,2019-12-17 10:48:38,0.002s,PASSED
out.println(rc_ref.getRCName()),,,,2019-12-17 10:48:38,2019-12-17 10:48:38,0.002s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2019-12-17 10:48:38,2019-12-17 10:48:38,0.002s,PASSED
"rcIsTrue = verifyEqual(response_code, rc_ref.getRCName())",,,,2019-12-17 10:48:38,2019-12-17 10:48:38,0.022s,PASSED
