Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_getListIssuer,,,,2020-01-22 10:00:20,2020-01-22 10:00:26,5.495s,INCOMPLETE
,,,,,,,
Test Cases/Account/TC_loginCustomer/TC_login081266483909,,,,2020-01-22 10:00:21,2020-01-22 10:00:26,4.954s,PASSED
"var_enciphered_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_pin)",,,,2020-01-22 10:00:21,2020-01-22 10:00:22,0.961s,PASSED
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"phone_number"":"""" + var_phone_number + """","" + """"pin"":"""" + var_enciphered_pin + """","" + """"device_id"":"""" + var_device_id + """","" + """"fcm_token"":"""" + var_fcm_token + """"}""",,,,2020-01-22 10:00:22,2020-01-22 10:00:22,0.002s,PASSED
out.println(plain),,,,2020-01-22 10:00:22,2020-01-22 10:00:22,0.007s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2020-01-22 10:00:22,2020-01-22 10:00:22,0.021s,PASSED
"body = ""{""organisation_id"":""1"",""data"":"""" + encipheredData + """",""lang"":""id""}""",,,,2020-01-22 10:00:22,2020-01-22 10:00:22,0.000s,PASSED
out.println(body),,,,2020-01-22 10:00:22,2020-01-22 10:00:22,0.001s,PASSED
"request = findTestObject(""Account/obj_loginCustomer"")",,,,2020-01-22 10:00:22,2020-01-22 10:00:22,0.051s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2020-01-22 10:00:22,2020-01-22 10:00:22,0.010s,PASSED
response = sendRequest(request),,,,2020-01-22 10:00:22,2020-01-22 10:00:25,3.177s,PASSED
println(request.getRestUrl()),,,,2020-01-22 10:00:25,2020-01-22 10:00:25,0.004s,PASSED
body_content = responseBodyContent,,,,2020-01-22 10:00:25,2020-01-22 10:00:26,0.004s,PASSED
status_code = statusCode,,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.000s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.011s,PASSED
out.println(respDataMap),,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.003s,PASSED
rc_ref = ReturnCodeWrapper(var_expected_rc).getEnumRC(),,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.013s,PASSED
out.println(var_expected_rc),,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.001s,PASSED
out.println(rc_ref.getRCName()),,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.002s,PASSED
out.println(rc_ref.getHttpResponse()),,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.003s,PASSED
"rcIsTrue = verifyEqual(response_code, rc_ref.getRCName())",,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.018s,PASSED
"httpRespIsTrue = verifyEqual(statusCode, rc_ref.getHttpResponse())",,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.004s,PASSED
if (rc_ref == RC00),,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.008s,PASSED
,,,,,,,
Test Cases/E_Wallet/TC_getListIssuer/TC_getListIssuer,,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.338s,ERROR
"out.println(""var_customer_token"" + var_customer_token)",,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.001s,PASSED
"out.println(""var_partner_token"" + var_partner_token)",,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.001s,PASSED
partner_token = partner_token,,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.001s,PASSED
"request = findTestObject(""E_Wallet/obj_getListIssuer"")",,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.026s,PASSED
if (var_customer_token == 0),,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.001s,PASSED
else,,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.023s,PASSED
response = sendRequest(request),,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.061s,PASSED
body_content = responseBodyContent,,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.000s,PASSED
status_code = statusCode,,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.001s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2020-01-22 10:00:26,2020-01-22 10:00:26,0.002s,PASSED
