Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_sycnMerchant,,,,2019-12-17 10:52:08,2019-12-17 10:52:12,4.277s,INCOMPLETE
,,,,,,,
Test Cases/E_Wallet/TC_Sync Merchant/TC_Sync Merchant,,,,2019-12-17 10:52:08,2019-12-17 10:52:11,2.245s,PASSED
"body = ""{""page"":"" + var_page + "",""page_size"":"" + var_page_size + "",""datetime"":"""" + var_date + """"}""",,,,2019-12-17 10:52:09,2019-12-17 10:52:09,0.002s,PASSED
out.println(body),,,,2019-12-17 10:52:09,2019-12-17 10:52:09,0.007s,PASSED
"request = findTestObject(""E_Wallet/obj_sync Merchant"")",,,,2019-12-17 10:52:09,2019-12-17 10:52:09,0.375s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-12-17 10:52:09,2019-12-17 10:52:09,0.010s,PASSED
response = sendRequest(request),,,,2019-12-17 10:52:09,2019-12-17 10:52:11,1.565s,PASSED
body_content = responseBodyContent,,,,2019-12-17 10:52:11,2019-12-17 10:52:11,0.007s,PASSED
status_code = statusCode,,,,2019-12-17 10:52:11,2019-12-17 10:52:11,0.001s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-12-17 10:52:11,2019-12-17 10:52:11,0.017s,PASSED
out.println(respDataMap),,,,2019-12-17 10:52:11,2019-12-17 10:52:11,0.003s,PASSED
out.println(var_expected_rc),,,,2019-12-17 10:52:11,2019-12-17 10:52:11,0.001s,PASSED
"httpRespIsTrue = verifyEqual(statusCode, var_expected_rc)",,,,2019-12-17 10:52:11,2019-12-17 10:52:11,0.017s,PASSED
,,,,,,,
Test Cases/E_Wallet/TC_Sync Merchant/TC_Sync Merchant,,,,2019-12-17 10:52:11,2019-12-17 10:52:11,0.234s,PASSED
"body = ""{""page"":"" + var_page + "",""page_size"":"" + var_page_size + "",""datetime"":"""" + var_date + """"}""",,,,2019-12-17 10:52:11,2019-12-17 10:52:11,0.001s,PASSED
