Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_mandatoryTest,,,,2019-11-19 14:54:15,2019-11-19 14:54:21,6.823s,INCOMPLETE
,,,,,,,
Test Cases/Account/Login_Customer/Login Mandatory Test,,,,2019-11-19 14:54:15,2019-11-19 14:54:18,3.511s,PASSED
"var_enciphered_pin = SecureUtils.doEncryptPinRsaEwallet(dev_public_pem_file, var_user_pin)",,,,2019-11-19 14:54:16,2019-11-19 14:54:17,0.866s,PASSED
"plain = ""{"" + """"user_agent"":"""" + var_user_agent + """","" + """"phone_number"":"""" + var_phone_number + """","" + """"pin"":"""" + var_enciphered_pin + """","" + """"device_id"":"""" + var_device_id + """","" + """"fcm_token"":"""" + var_fcm_token + """"}""",,,,2019-11-19 14:54:17,2019-11-19 14:54:17,0.001s,PASSED
out.println(plain),,,,2019-11-19 14:54:17,2019-11-19 14:54:17,0.007s,PASSED
"encipheredData = SecureUtils.encryptAesEwallet(plain, var_aes_key)",,,,2019-11-19 14:54:17,2019-11-19 14:54:17,0.026s,PASSED
"body = ""{""organisation_id"":""1"",""data"":"""" + encipheredData + """",""lang"":""id""}""",,,,2019-11-19 14:54:17,2019-11-19 14:54:17,0.000s,PASSED
out.println(body),,,,2019-11-19 14:54:17,2019-11-19 14:54:17,0.000s,PASSED
"request = findTestObject(""Account/Login_Customer_URL"")",,,,2019-11-19 14:54:17,2019-11-19 14:54:17,0.052s,PASSED
"request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,,2019-11-19 14:54:17,2019-11-19 14:54:17,0.010s,PASSED
response = sendRequest(request),,,,2019-11-19 14:54:17,2019-11-19 14:54:18,0.924s,PASSED
body_content = responseBodyContent,,,,2019-11-19 14:54:18,2019-11-19 14:54:18,0.006s,PASSED
status_code = statusCode,,,,2019-11-19 14:54:18,2019-11-19 14:54:18,0.002s,PASSED
respDataMap = JsonSlurper().parseText(body_content),,,,2019-11-19 14:54:18,2019-11-19 14:54:18,0.015s,PASSED
out.println(respDataMap),,,,2019-11-19 14:54:18,2019-11-19 14:54:18,0.002s,PASSED
